0.000000 0.000000 0.000000   0
11.111111 -14.363326 5.685223   1
11.111111 24.831306 5.685223   2
22.222222 -14.363326 -52.209036   3
22.222222 -14.363326 -23.261906   4
22.222222 -14.363326 5.685223   5
22.222222 24.831306 -23.261906   6
22.222222 24.831306 5.685223   7
22.222222 64.025939 5.685223   8
33.333333 -14.363326 -81.156165   9
33.333333 -14.363326 -52.209036   10
33.333333 -14.363326 -23.261906   11
33.333333 -14.363326 5.685223   12
33.333333 -14.363326 34.632352   13
33.333333 24.831306 -52.209036   14
33.333333 24.831306 -23.261906   15
33.333333 24.831306 5.685223   16
33.333333 24.831306 34.632352   17
33.333333 64.025939 -23.261906   18
33.333333 64.025939 5.685223   19
33.333333 64.025939 34.632352   20
44.444444 -53.557959 -23.261906   21
44.444444 -53.557959 5.685223   22
44.444444 -53.557959 34.632352   23
44.444444 -53.557959 63.579482   24
44.444444 -14.363326 -110.103295   25
44.444444 -14.363326 -81.156165   26
44.444444 -14.363326 -52.209036   27
44.444444 -14.363326 -23.261906   28
44.444444 -14.363326 5.685223   29
44.444444 -14.363326 34.632352   30
44.444444 24.831306 -81.156165   31
44.444444 24.831306 -52.209036   32
44.444444 24.831306 -23.261906   33
44.444444 24.831306 5.685223   34
44.444444 24.831306 34.632352   35
44.444444 64.025939 -52.209036   36
44.444444 64.025939 -23.261906   37
44.444444 64.025939 5.685223   38
44.444444 64.025939 34.632352   39
44.444444 103.220572 5.685223   40
44.444444 103.220572 34.632352   41
44.444444 142.415204 34.632352   42
55.555556 -53.557959 -81.156165   43
55.555556 -53.557959 -52.209036   44
55.555556 -53.557959 -23.261906   45
55.555556 -53.557959 5.685223   46
55.555556 -53.557959 34.632352   47
55.555556 -53.557959 63.579482   48
55.555556 -14.363326 -110.103295   49
55.555556 -14.363326 -81.156165   50
55.555556 -14.363326 -52.209036   51
55.555556 -14.363326 -23.261906   52
55.555556 -14.363326 5.685223   53
55.555556 -14.363326 34.632352   54
55.555556 -14.363326 63.579482   55
55.555556 24.831306 -110.103295   56
55.555556 24.831306 -81.156165   57
55.555556 24.831306 -52.209036   58
55.555556 24.831306 -23.261906   59
55.555556 24.831306 5.685223   60
55.555556 24.831306 34.632352   61
55.555556 24.831306 63.579482   62
55.555556 64.025939 -81.156165   63
55.555556 64.025939 -52.209036   64
55.555556 64.025939 -23.261906   65
55.555556 64.025939 5.685223   66
55.555556 64.025939 34.632352   67
55.555556 64.025939 63.579482   68
55.555556 103.220572 -23.261906   69
55.555556 103.220572 5.685223   70
55.555556 103.220572 34.632352   71
55.555556 142.415204 5.685223   72
55.555556 142.415204 34.632352   73
55.555556 181.609837 34.632352   74
66.666667 -92.752592 34.632352   75
66.666667 -92.752592 63.579482   76
66.666667 -92.752592 92.526611   77
66.666667 -53.557959 -81.156165   78
66.666667 -53.557959 -52.209036   79
66.666667 -53.557959 -23.261906   80
66.666667 -53.557959 5.685223   81
66.666667 -53.557959 34.632352   82
66.666667 -53.557959 63.579482 112  83
66.666667 -53.557959 92.526611   84
66.666667 -14.363326 -81.156165   85
66.666667 -14.363326 -52.209036   86
66.666667 -14.363326 -23.261906   87
66.666667 -14.363326 5.685223   88
66.666667 -14.363326 34.632352   89
66.666667 -14.363326 63.579482   90
66.666667 24.831306 -81.156165   91
66.666667 24.831306 -52.209036   92
66.666667 24.831306 -23.261906   93
66.666667 24.831306 5.685223   94
66.666667 24.831306 34.632352   95
66.666667 24.831306 63.579482   96
66.666667 64.025939 -81.156165   97
66.666667 64.025939 -52.209036   98
66.666667 64.025939 -23.261906   99
66.666667 64.025939 5.685223   100
66.666667 64.025939 34.632352   101
66.666667 64.025939 63.579482   102
66.666667 103.220572 -52.209036   103
66.666667 103.220572 -23.261906   104
66.666667 103.220572 5.685223   105
66.666667 103.220572 34.632352   106
66.666667 103.220572 63.579482   107
66.666667 142.415204 -23.261906   108
66.666667 142.415204 5.685223   109
66.666667 142.415204 34.632352   110
66.666667 142.415204 63.579482   111
66.666667 181.609837 63.579482   112
77.777778 -92.752592 -52.209036   113
77.777778 -92.752592 -23.261906   114
77.777778 -92.752592 5.685223   115
77.777778 -92.752592 34.632352   116
77.777778 -92.752592 63.579482   117
77.777778 -92.752592 92.526611   118
77.777778 -53.557959 -52.209036   119
77.777778 -53.557959 -23.261906   120
77.777778 -53.557959 5.685223   121
77.777778 -53.557959 34.632352   122
77.777778 -53.557959 63.579482   123
77.777778 -53.557959 92.526611   124
77.777778 -14.363326 -52.209036   125
77.777778 -14.363326 -23.261906   126
77.777778 -14.363326 5.685223   127
77.777778 -14.363326 34.632352   128
77.777778 -14.363326 63.579482   129
77.777778 -14.363326 92.526611   130
77.777778 24.831306 -52.209036   131
77.777778 24.831306 -23.261906   132
77.777778 24.831306 5.685223   133
77.777778 24.831306 34.632352   134
77.777778 24.831306 63.579482   135
77.777778 24.831306 92.526611   136
77.777778 64.025939 -52.209036   137
77.777778 64.025939 -23.261906   138
77.777778 64.025939 5.685223   139
77.777778 64.025939 34.632352   140
77.777778 64.025939 63.579482   141
77.777778 64.025939 92.526611   142
77.777778 103.220572 63.579482   143
88.888889 -53.557959 -23.261906   144
88.888889 -53.557959 5.685223   145
88.888889 -53.557959 34.632352   146
88.888889 -53.557959 63.579482   147
88.888889 -14.363326 -23.261906   148
88.888889 -14.363326 5.685223   149
88.888889 -14.363326 34.632352   150
88.888889 -14.363326 63.579482   151
88.888889 -14.363326 92.526611   152
88.888889 24.831306 -23.261906   153
88.888889 24.831306 5.685223   154
88.888889 24.831306 34.632352   155
88.888889 24.831306 63.579482   156
88.888889 24.831306 92.526611   157
100.000000 0.000000 0.000000   158
